식품대분류명,대표식품명,,식품군
과자류·빵류 또는 떡류,나머지,과자류·빵류 또는 떡류나머지,간식
농산가공식품류,기타 농산가공품,농산가공식품류기타 농산가공품,간식
농산가공식품류,과일가공품,농산가공식품류과일가공품,간식
농산가공식품류,냉동과일,농산가공식품류냉동과일,간식
농산가공식품류,채소가공품,농산가공식품류채소가공품,간식
농산가공식품류,견과류,농산가공식품류견과류,간식
농산가공식품류,두류가공품,농산가공식품류두류가공품,간식
농산가공식품류,옥수수,농산가공식품류옥수수,간식
빙과류,전체,빙과류전체,간식
유가공품류,농후발효유,유가공품류농후발효유,간식
유가공품류,크림발효유,유가공품류크림발효유,간식
유가공품류,발효유,유가공품류발효유,간식
즉석식품류,시리얼바/에너지바/영양바,즉석식품류시리얼바/에너지바/영양바,간식
즉석식품류,즉석 빵,즉석식품류즉석 빵,간식
즉석식품류,기타 즉석식품,즉석식품류기타 즉석식품,간식
코코아가공품류 또는 초콜릿류,초콜릿,코코아가공품류 또는 초콜릿류초콜릿,간식
코코아가공품류 또는 초콜릿류,초코파이,코코아가공품류 또는 초콜릿류초코파이,간식
코코아가공품류 또는 초콜릿류,초콜릿과자,코코아가공품류 또는 초콜릿류초콜릿과자,간식
농산가공식품류,서류가공품,농산가공식품류서류가공품,간식/반찬
기타식품류,기타가공품,기타식품류기타가공품,간식/반찬/식재료/일품
과자류·빵류 또는 떡류,떡,과자류·빵류 또는 떡류떡,간식/식재료/일품
즉석식품류,찌개/전골류,즉석식품류찌개/전골류,국&찌개
즉석식품류,국/탕류,즉석식품류국/탕류,국&찌개
식육가공품 및 포장육,식육간편조리,식육가공품 및 포장육식육간편조리,국&찌개/반찬
농산가공식품류,두류가공품,농산가공식품류두류가공품,반찬
두부류 또는 묵류,전체,두부류 또는 묵류전체,반찬
수산가공식품류,전체,수산가공식품류전체,반찬
식육가공품 및 포장육,나머지,식육가공품 및 포장육나머지,반찬
절임류 또는 조림류,전체,절임류 또는 조림류전체,반찬
즉석식품류,반찬,즉석식품류반찬,반찬
즉석식품류,조림/찜,즉석식품류조림/찜,반찬
즉석식품류,순대,즉석식품류순대,반찬
즉석식품류,함박스테이크/미트볼,즉석식품류함박스테이크/미트볼,반찬
즉석식품류,만두,즉석식품류만두,반찬
즉석식품류,감자튀김,즉석식품류감자튀김,반찬
즉석식품류,스프,즉석식품류스프,반찬
즉석식품류,튀김,즉석식품류튀김,반찬
즉석식품류,전,즉석식품류전,반찬
즉석식품류,누룽지,즉석식품류누룽지,밥/식재료
농산가공식품류,시리얼,농산가공식품류시리얼,시리얼
즉석식품류,기타 시리얼,즉석식품류기타 시리얼,시리얼
농산가공식품류,밀가루,농산가공식품류밀가루,식재료
농산가공식품류,땅콩버터,농산가공식품류땅콩버터,식재료
농산가공식품류,부침가루/튀김가루/믹스,농산가공식품류부침가루/튀김가루/믹스,식재료
농산가공식품류,빵가루,농산가공식품류빵가루,식재료
농산가공식품류,호박씨분말,농산가공식품류호박씨분말,식재료
식용유지류,전체,식용유지류전체,식재료
유가공품류,연유,유가공품류연유,식재료
유가공품류,유크림,유가공품류유크림,식재료
유가공품류,크림발효유,유가공품류크림발효유,식재료
유가공품류,치즈,유가공품류치즈,식재료
유가공품류,버터,유가공품류버터,식재료
음료류,농축음료,음료류농축음료,식재료
음료류,발효음료,음료류발효음료,식재료
장류,전체,장류전체,식재료
잼류,전체,잼류전체,식재료
조미식품,전체,조미식품전체,식재료
즉석식품류,소스/드레싱,즉석식품류소스/드레싱,식재료
즉석식품류,만두피,즉석식품류만두피,식재료
즉석식품류,육수,즉석식품류육수,식재료
코코아가공품류 또는 초콜릿류,코코아매스,코코아가공품류 또는 초콜릿류코코아매스,식재료
코코아가공품류 또는 초콜릿류,코코아,코코아가공품류 또는 초콜릿류코코아,식재료
당류,전체,당류전체,식재료
동물성가공식품류,전체,동물성가공식품류전체,식재료
알가공품류,전체,알가공품류전체,식재료
유가공품류,분유,유가공품류분유,식재료
유가공품류,전지/탈지분유,유가공품류전지/탈지분유,식재료
면류,전체,면류전체,식재료/일품
유가공품류,가공우유,유가공품류가공우유,음료
유가공품류,가공우유,유가공품류가공우유,음료
유가공품류,가공우유(멸균),유가공품류가공우유(멸균),음료
유가공품류,강화우유,유가공품류강화우유,음료
유가공품류,우유,유가공품류우유,음료
유가공품류,우유(멸균),유가공품류우유(멸균),음료
유가공품류,"우유,유당분해우유","유가공품류우유,유당분해우유",음료
음료류,나머지,음료류나머지,음료
즉석식품류,미숫가루,즉석식품류미숫가루,음료
즉석식품류,기타 음료,즉석식품류기타 음료,음료
과자류·빵류 또는 떡류,피자,과자류·빵류 또는 떡류피자,일품
즉석식품류,샐러드,즉석식품류샐러드,일품
즉석식품류,죽,즉석식품류죽,일품
즉석식품류,도시락,즉석식품류도시락,일품
즉석식품류,즉석 면요리,즉석식품류즉석 면요리,일품
즉석식품류,체중조절용 즉석식품,즉석식품류체중조절용 즉석식품,일품
즉석식품류,떡볶이,즉석식품류떡볶이,일품
즉석식품류,성장기 즉석식품,즉석식품류성장기 즉석식품,일품
즉석식품류,치킨,즉석식품류치킨,일품
즉석식품류,즉석 피자,즉석식품류즉석 피자,일품
즉석식품류,버거,즉석식품류버거,일품
즉석식품류,샌드위치,즉석식품류샌드위치,일품
특수영양식품,체중조절용 조제식품,특수영양식품체중조절용 조제식품,일품
특수영양식품,영·유아용 이유식,특수영양식품영·유아용 이유식,일품
특수영양식품,성장기용 조제식,특수영양식품성장기용 조제식,일품
특수영양식품,임산·수유부용 식품,특수영양식품임산·수유부용 식품,일품
특수영양식품,체중조절용 조제식품,특수영양식품체중조절용 조제식품,일품
특수의료용도식품,환자용 식품,특수의료용도식품환자용 식품,일품
특수의료용도식품,환자용 식품,특수의료용도식품환자용 식품,일품
즉석식품류,주먹밥/김밥/초밥,즉석식품류주먹밥/김밥/초밥,일품/밥
즉석식품류,밥류,즉석식품류밥류,일품/밥
주류,전체,주류전체,주류
