,레시피명,재료,방법,열량,탄수화물,단백질,지방,나트륨
28,감자미역국,"건미역 1.5g, 감자 40g, 다진마늘 1g, 참기름 1g, 국간장 2g, 물 300ml","['미역을 물에 불리고 건져내 물기를 제거한다.', '감자는 껍질을 제거하고 한입 크기로 자른다.', '냄비에 참기름을 두르고 미역을 볶다가 물을 부어 끓인다.', '국물이 우러나면 감자를 넣고 익을 때까지 끓인다.', '국간장을 넣어 간을 맞춘다.', '다진마늘을 넣고 한소끔 더 끓여서 완성한다.']",35.4,2.5,1.1,2.3,174.6
29,청경채 김치,"?필수  : 청경채(60g), 배(10g)?양념장 : 매실액(5g), 고춧가루(5g), 저염간장(3g), 다진마늘(1g), 다진생강(2g)?양념 : 소금(2g), 찹쌀가루(10g)","['청경채는 반으로 자른 후 줄기 부분에 칼집을 넣는다.', '청경채에 소금을 뿌려 30~40분 정도 절인다.', '배는 껍질을 벗긴 후 강판에 갈아 즙을 만든다.', '냄비에 물(30g)과 찹쌀가루를 넣고 끓여 찹쌀풀을 만들고, 충분히 식힌다.', '볼에 식힌 찹쌀풀, 배즙, 양념장 재료를 넣고 고루 섞어 양념장을 만든다.', '절인 청경채의 물기를 제거하고, 양념장을 버무려 마무리한다.']",53.7,9.9,1.9,0.7,382.6
30,두부 새우볼,"두부(100g), 냉동 새우살(90g), 양파(30g), 새송이버섯(100g), 생강가루(1g), 후춧가루(1g), 소금(1g), 소금(1g), 후춧가루(1g), 파슬리가루(2g), 식용유(25ml), 버터(10g), 밀가루(10g), 우유(360㎖)","['두부는 물기를 제거한 뒤 칼등으로 으깨고, 새우와 양파는 잘게 다지고, 새송이버섯은 한입 크기로 썬다.', '으깬 두부와 잘게 다진 새우, 양파는 밑간해 고루 버무린 뒤 적당량(25g)씩 떼어 동그랗게 빚는다.', '중간 불로 달군 팬에 식용유(25㎖)를 둘러 10~15분간 두부새우볼을 골고루 익혀 꺼낸다.', '같은 팬에 새송이버섯을 5분간 볶아 꺼낸다.', '약한 불로 줄인 뒤 같은 팬에 버터와 밀가루를 넣고 3~5분간 볶아 블론드 루를 만들고 우유를 부은 뒤 10분간 끓인다.', '구운 두부새우볼과 버섯, 소금(1g), 후춧가루(1g)를 넣은 뒤 그릇에 담고 파슬리가루(2g)를 뿌린다.']",187.1,8.4,15.3,10.3,288.1
31,소고기육전과 전복내장소스,"부챗살(150g), 쪽파(5g), 홍고추(5g), 익힌 전복내장(5g), 다진 건새우(5g), 밀가루(20g), 달걀물(50g), 생강(1g), 저염 간장(5g), 맛술(2g), 식초(2g), 참기름(1g), 후춧가루(2g), 식용유(10ml)","['부챗살은 3mm로 썰어 후춧가루를 뿌려 버무리고, 쪽파, 홍고추, 익힌 전복내장은 잘게 다진다.', '밀가루에 다진 건새우를 섞은 뒤, 부챗살에 밀가루 → 달걀물 순으로 입힌다.', '다진 쪽파, 홍고추, 익힌 전복내장에 초간장 재료를 섞어 전복내장소스를 만든다.', '중간 불로 달군 팬에 식용유(10㎖)를 두른 뒤 옷을 입힌 부챗살을 앞뒤로 4분간 굽는다.', '그릇에 구운 부챗살을 담고 전복내장소스를 곁들인다.']",341.6,11.8,16.6,25.3,191.6
32,토마토 채소 계란찜,"방울토마토 20g, 양파 5g, 브로콜리 10g, 그린빈스 10g, 계란 80g, 파마산치즈 3g, 생크림 20g, 마늘 0.1g, 후추 0.1g","['볼에 계란을 푼다.', '마늘을 다져 계란과 섞고 파마산치즈, 후추를 넣어 간을 맞춘다.', '양파는 채 썰고 브로콜리는 깍둑썰고 그린빈스는 2cm 길이로 자른다.', '3의 재료를 볶은 뒤 계란물과 섞는다.', '방울토마토를 반으로 잘라 4에 넣는다.', '그릇에 옮겨 담아 찐다.']",181.76,4.0,11.68,13.23,159.3
33,치즈토마토 가지구이,"[ 2인분 ] 새송이버섯(1개), 양파(½개), 토마토(2~3개), 가지(2개), 돼지고기(목살, 200g), 슈레드 모차렐라치즈(½컵), 올리브유(1Ts), 다진 마늘(2Ts), 쌈장(0.5Ts), 파프리카가루(약간), 바질잎(3~4장)","['새송이버섯, 양파, 토마토는 굵게 다지고, 가지는 모양대로 길게 썰고, 돼지고기는 한입 크기로 썬다. ', '중간 불로 달군 마른 팬에 가지를 올려 앞뒤로 노릇하게 굽는다. ', '같은 팬에 올리브유를 두르고 다진 마늘을 넣어 노릇하게 볶고, 양파와 새송이버섯을 넣어 양파가 투명해질 때까지 볶는다. ', '중간 불로 올린 뒤 목살을 넣어 겉면의 색이 변할 때까지 볶고, 토마토를 넣어 으깬다. ', '쌈장과 파프리카가루를 넣어 고루 섞고, 토마토 국물이 배어 나오면 바질을 손으로 뜯어 넣은 뒤 국물이 자작해질 때까지 끓인다. ', '그릇에 ⑤의 재료를 담은 뒤 가지를 엇갈려 올리고, 치즈를 얹은 뒤 전자레인지에 넣어 모차렐라치즈가 녹을 때까지 조리해 마무리한다.']",263.6,9.4,14.8,18.5,200.7
34,묵은지 밀푀유나베,"[ 2인분 ] 묵은지(¼포기), 배추(6장), 깻잎(10장), 소고기(샤브샤브용, 150g), 콩나물(1줌=20g), 북어채(1줌=10g)","['묵은지는 흐르는 물에 헹군 뒤 찬물에 30분간 담가둔다. ', '배추, 깻잎, 소고기, 묵은지 순으로 층층이 쌓는다. ', '쌓은 재료를 3~4cm 크기로 자른다. ', '냄비에 재료를 둘러 담고, 가운데에 콩나물과 북어채를 담는다. ', '물(3컵)을 넣는다. ', '중간 불로 10분간 끓여 마무리한다.']",115.5,5.2,12.1,5.2,356.5
35,생선까스&타르타르소스,"?필수 : 명태포(40g), 튀김가루(20g), 달걀(1/4개), 식용유(5g), 물(30g)?밑간 : 후춧가루(1g), 레몬즙(3g)?타르타르 소스 : 삶은 달걀(1/2개), 마요네즈(5g), 홍고추(1g), 청양고추(1g), 양파(3g), 후추(2g), 레몬즙(10g)","['명태포는 키친타월에 올려 물기를 제거한다.', '후춧가루와 레몬즙을 뿌려 비린내를 제거한다.', '볼에 튀김가루와 달걀, 식용유, 물을 섞어 튀김옷을 만든다', '명태포에 튀김옷을 입힌 뒤 170℃ 기름에서 두 번 튀긴다.', '삶은 달걀, 홍고추, 청양고추, 양파를 다져 볼에 섞은 뒤 마요네즈와 레몬즙, 후춧가루를 섞어 소스를 만든다', '생선까스에 타르타르소스를 곁들여 담는다.']",277.3,8.0,14.5,20.8,201.2
36,미옹 카레,"2인분 기준? [간편식 ] 커리 소스(80g), 홍새우 튀김(150g), 컬리플라워(50g), 감자튀김(100g)? [추가 ] 감자(2개=360g), 불린 미역(70g, 마른 미역 10g), 양파(110g), 식용유(10g), 물(100g)","['감자로 만든 옹심이 반죽을 숟가락의 절반 크기로 동그랗게 모양을 만든다.', '180도로 예열한 에어프라이어에 홍새우 튀김을 15분 동안 익힌다.', '팬에 식용유를 두르고 양파를 채 썰어 넣고 갈색이 나도록 볶는다.', '컬리플라워, 감자튀김, 불린 미역을 넣고 3분 동안 더 볶는다.', '커리 소스, 물(1/2컵=100g), 옹심이를 넣고 3분 동안 끓인다.', '접시에 담고 홍새우 튀김을 올려 마무리한다.']",298.6,30.7,6.8,16.6,579.7
37,곤약 감자조림,"곤약 100g, 감자 50g, 풋고추 5g, 홍고추 5g, 다시마 10g, 간장 15g, 설탕 10g, 미림 15g, 참기름 3g, 식초 10g, 물 200g","['곤약과 감자는 2cm ? 2cm 크기로 썰고 풋고추와 홍고추는 송송 썰어 씨를 제거한다.', '물(200g)에 다시마를 넣고 끓여 육수를 만든 뒤 다시마를 건진다.', '육수에 간장, 설탕, 미림을 섞어 조림장을 만든다.', '곤약과 감자를 끓는 물에 넣고 80% 정도 익힌 뒤 건져 식힌다.', '4에 조림장 50g을 넣고 살짝 졸인다.', '불을 끄고 참기름을 섞는다.']",37.8,8.78,0.64,0.01,305
38,배추된장국,"배추 20g, 두부 30g, 양파 20g, 대파 10g, 다시멸치 5g, 청양고추 1g, 다진마늘 0.5g, 생강즙 0.5g, 된장 2g, 쌀뜨물 60ml, 물 300ml","['배추, 양파, 두부는 한입 크기로 썰고 대파와 청양고추는 어슷썰어 준비한다.', '전처리 후 남은 양파껍질, 대파뿌리와 다시멸치를 넣고 육수를 우린 후 거른다.', '두부는 끓는 물에 10분정도 넣어서 염분기를 빼준다.', '냄비에 참기름과 배추를 넣어 볶다가 쌀뜨물과 육수를 넣어 끓인다.', '두부와 양파, 대파, 고추를 넣는다.', '된장, 간마늘, 생강즙을 넣어 간을 맞춘다.']",44.9,4.0,4.2,1.3,52.1
39,한우굴라쉬,"쇠고기 등심 17.5g, 양파 7.5g, 감자 15g, 파프리카 3.2g, 토마토 25g, 마늘 1.7g, 밀가루 1.7g, 토마토페이스트 13.7g, 케첩 9g, 버터 5g, 올리브유 1g, 월계수잎 0.1g, 소금 0.1g, 후추 0.1g, 물 300ml","['쇠고기 등심은 큐브 모양으로 썰어 소금, 후추 간을 하고 밀가루를 묻힌다.', '감자, 토마토는 한 입 크기로 썰고, 마늘은 편썰기, 파프리카는 채썰기, 양파는 다진다.', '팬에 버터와 올리브유를 넣고 양파, 마늘을 볶다가 쇠고기를 넣어 볶는다.', '쇠고기가 익으면 감자, 토마토, 파프리카를 넣는다.', '토마토 페이스트, 케찹을 넣어 볶다가 물과 월계수잎을 넣어 끓인다.', '소금, 후추로 간을 하고 푹 익혀준다.']",86.7,9.6,4.4,3.4,178.5
40,요거트강화순무김치,"순무 40g, 쪽파 0.2g, 고운 고춧가루 1g, 굵은 고춧가루 1g, 다진마늘 1g, 플레인요거트 2g, 소금 0.2g","['순무는 2.5*2.5*0.3 cm 크기로 나박 모양으로 썬다.', '고운 고춧가루, 굵은 고춧가루, 다진마늘, 소금, 요거트를 섞어 양념장을 만든다.', '쪽파는 0.2cm 크기로 송송 썰어 준비한다.', '순무에 양념장을 넣고 버무려 준다.', '양념된 순무를 하루 정도 냉장보관하여 숙성시킨다.', '숙성된 순무김치에 쪽파를 고명으로 얹어 제공한다.']",15.87,2.75,0.9,0.14,29.8
41,크림카레소스를 곁들인 함초두부스테이크,"양파(30g), 당근(20g), 양송이버섯(20g), 불린 함초(15g), 으깬 두부(120g), 닭가슴살(60g), 달걀(40g), 빵가루(5g), 밀가루(10g), 버터(10g), 우유(250g), 강황가루(10g), 함초소금(0.5g), 다진 마늘(5g), 저염 간장(3g), 식용유(10ml)","['양파와 당근, 양송이버섯, 불린 함초는 잘게 다진다.', '으깬 두부는 물기를 제거한 뒤 닭가슴살과 믹서에 넣어 곱게 갈고 다진 양파(20g), 당근(10g), 함초(7.5g), 달걀, 빵가루, 함초소금(0.25g)을 넣어 버무린다.', '두부 반죽은 동그랗게 만들어 중간 불로 달군 팬에 식용유(10㎖)를 두른 뒤 4분간 앞뒤로 노릇하게 구워 꺼낸다.', '약한 불로 달군 냄비에 밀가루, 버터를 넣어 루를 만들고 우유, 강황가루, 다진 양파(10g)와 당근(10g), 양송이버섯, 다진 마늘(5g)을 넣어 섞은 뒤 저염 간장(3g), 함초소금(0.25g)으로 간한다.', '믹서에 소스와 다진 함초(7.5g)를 넣어 곱게 간다.', '그릇에 함초두부스테이크를 올리고 소스를 뿌린다.']",289.9,13.4,28.7,13.5,349.6
42,레몬등갈비구이,"?필수  : 등갈비(150g), 마늘(10g), 레몬(15g)?밑간 : 소주(10g), 로즈메리(1g), 다진마늘(1g), 후춧가루(1g), 올리브유(5g)?디핑소스 : 요거트(10g), 꿀(2g), 레몬즙(2g)","['등갈비는 찬물(5컵)에 담가 1시간 이상 핏물을 제거한다. ', '등갈비는 한 쪽씩 썬다.', '손질한 등갈비는 밑간한 뒤 마늘, 로즈메리와 함께 버무려 30분 정도 재운다.', '재운 등갈비는 190℃로 예열한 오븐에 40분간 굽고, 뒤집어서 같은 온도에 30분간 더 굽는다.', '디핑소스를 만든다.', '그릇에 등갈비구이를 담은 뒤 레몬을 짜 즙을 뿌리고, 디핑 소스를 곁들여 마무리한다.']",281.4,2.0,24.4,19.5,74.3
43,밀푀유 채소 웰링턴,"2인분 기준? [가정 간편식 ] 배추(200g), 소고기(200g), 숙주(80g), 청경채(30g), 표고버섯(20g), 새송이버섯(50g), 백목이버섯(3g), 다시마(10g), 깻잎(5g)? [추가 ] 두부(150g), 머스타드(17g), 마늘(10g), 양파(35g), 토마토(200g), 우유(60g), 들깨가루(30g), 올리브유(60g), 간장(30g), 로즈메리(2잎=10g), 소금(8g), 후추(4g), 전분(15g), 물(2컵=400g)","['표고버섯, 양파, 마늘은 다지고, 끓는 물에 배추, 숙주, 청경채를 데친다. 토마토는 껍질을 벗기고, 소고기는 키친타월로 핏물을 제거하고 두부는 물기를 제거한다.', '팬에 올리브유(20g)를 두르고 손질한 표고버섯, 양파(15g), 마늘을 볶은 뒤 간장(15g), 들깨가루, 우유를 넣어 덕셀을 만들고 식힌다.', '양파(20g)를 볶은 뒤 물을 붓고 다시마, 새송이버섯, 백목이버섯, 토마토를 넣고 중약 불에서 15분 동안 끓여 갈고 간장(15g), 소금(3g)으로 간해 브라운 소스를 만든다.', '소고기에 머스타드, 덕셀을 바르고 깻잎, 두부, 숙주, 청경채를 넣어 감싸준 후 소금(5g), 후추를 뿌리고, 팬에 올리브유(20g)를 두르고 소고기를 굽고, 로즈메리를 넣는다.', '종이 포일에 올리브유(20g)를 뿌리고, 데친 배추를 올린 후 위에 구운 고기와 덕셀(30g)을 올리고 돌돌 말아 에어프라이어에 200도, 10분간 굽는다.', '접시에 웰링턴을 담고 여분의 덕셀, 브라운 소스를 올리고 마무리한다.']",216.4,7.2,14.6,14.2,647.7
44,과일 먹은 닭탕수,"닭고기(다리살) 300g, 포도 15g, 미니사과 30g, 파인애플 15g, 전분 80g, 설탕 20g, 레몬 70g, 청주 10g, 후추 0.2g, 소금 2g, 물 200g","['닭다리의 살만 발라내 4cm ? 1cm 크기로 썬다.', '1에 소금, 후추로 밑간한 뒤 청주를 넣어 재운다.', '포도알은 2등분하고 사과, 파인애플은 한 입 크기로 썬다.', '2에 녹말을 입혀 기름에 2번 튀긴다.', '팬에 물, 설탕, 레몬즙을 넣고 한소끔 끓인다.', '소스에 물전분을 넣어 농도를 맞추고 썰어둔 과일을 넣는다.']",104.12,11.33,5.07,4.28,25.88
45,콜리플라워미역국,"콜리플라워 25g, 건미역 2g, (육수) 물 500ml, 디포리 2g, 양파 20g, 무 20g, (양념) 저염간장 1g, 건표고버섯 3g, 건새우 3g, 물 300ml","['디포리를 살짝 볶아 물, 양파, 무를 넣고 육수를 낸다.', '건새우를 볶아서 건표고버섯과 함께 곱게 간다.', '콜리플라워는 먹기 좋은 크기로 썰어 볶는다.', '냄비에 불려서 손질해 놓은 미역과 참기름을 넣어 볶는다.', '육수를 넣고 푹 끓이다가 ②와 저염간장으로 간을 맞춘다.', '마지막으로 콜리플라워를 넣어 완성한다.']",20.9,0.6,1.3,1.5,113.1
46,구기자모듬장조림,"한돈(사태) 30g, 메추리알 30g, 당근 10g, 곤약 10g, 구기자 5g, 양파 10g, 파 10g, 다시마 5g, 마늘 10g, 표고버섯 10g, 저염간장 15g","['한돈은 사태로 준비하여 깍둑썰기하여 세척한다.', '양파, 파, 다시마, 표고버섯, 마늘은 깨끗이 세척 후 적당한 크기로 자르고, 당근, 곤약은 깍뚝썰기하여 준비한다.', '냄비에 물과 저염간장을 2:1 비율로 조림장을 준비한다. ', '조림장에 구기자 및 양파, 파, 다시마, 표고버섯, 마늘을 넣고 끓인다.', '조림장이 끓으면 사태, 메추리알, 당근, 곤약을 넣고 조린다.', '접시에 담아서 완성한다.']",59.2,5.3,4.3,2.3,215.6
47,오미자저염나박김치,"배추 10g, 콜라비 5g, 오이 2g, 당근 2g, 실파 1g, 청,홍고추 1g, 레몬 5g, 오미자엑기스 5g, 식초 30g, 설탕 5g, 물 10ml","['배추, 콜라비, 오이, 당근을 나박모양으로 썬다.', '레몬은 은행잎썰기, 홍고추는 어슷썰기, 실파는 1.5cm 길이로 썬다.', '식초, 설탕, 오미자청으로 단촛물을 만든다.', '단촛물에 야채, 레몬, 고추, 실파를 넣고 숙성시킨다.', '숙성 후 색을 보고 오미자청을 더 첨가한다.', '숙성된 오미자 나박김치를 그릇에 담아준다.']",43.05,9.8,0.42,0.24,7.24
48,라이스페이퍼 수제소시지,"[ 2인분 ] 다진 돼지고기(600g), 사각 라이스페이퍼(8장), 새우젓(0.5Ts), 저염 간장(0.5Ts), 버섯가루(1Ts), 스테비아(0.3Ts), 찹쌀가루(2Ts), 후춧가루(0.3Ts), 훈제 파프리카파우더(1.5Ts), 카옌 페퍼(0.5Ts), 커민(0.5Ts), 다진 양파(1Ts), 다진 마늘(0.5Ts)","['다진 돼지고기(300g)에 밑간한 뒤 얼음물(¼컵)을 넣어 찰기가 생길 때까지 치대 소시지 반죽을 만든다. ', '남은 다진 돼지고기(300g)에 양념과 얼음물(¼컵)을 넣고 고루 섞어 치대 다른 소시지 반죽을 만든다. ', '두 가지 소시지 반죽은 짤주머니에 각각 담아 냉장실에서 30분간 숙성한다. ', '라이스페이퍼 양면에 물을 약간 묻히고, 소시지 반죽을 일정하게 짠 뒤 돌돌 말아 소시지를 만든다. ', '약한 불로 달군 팬에 식용유를 두르고, 소시지를 돌려가며 5분간 골고루 익힌다. ', '센 불로 올려 1분간 더 익혀 마무리한다.']",542.8,38.3,38.6,26.1,451.7
49,치즈 두부 튀김,"고구마(50g), 호두(15g), 우유(10㎖), 두부(150g), 빵가루(50g), 모차렐라치즈(15g), 식용유(100ml)","['고구마는 끓는 물(2컵)에 4분간 삶아 껍질을 제거한 뒤 곱게 으깬다.', '호두는 굵게 부순다.', '으깬 고구마에 호두, 우유를 넣어 고루 섞는다.', '키친타월을 이용해 두부의 물기를 제거한 뒤 곱게 으깨고 빵가루(15g)를 넣어 섞는다.', '두부를 얇게 편 뒤 고구마와 모차렐라치즈를 넣어 동그랗게 빚는다.', '두부를 얇게 편 뒤 고구마와 모차렐라치즈를 넣어 동그랗게 빚는다.']",355.4,24.7,19.4,19.9,172.9
50,단호박 라타투이,"[ 2인분 ] 가지(1개), 주키니호박(½개), 토마토(1½개), 단호박(1개), 훈제 오리(400g), 마늘(6쪽), 다진 양파(½컵), 다진 토마토(1컵), 다진 파프리카(1컵), 올리브유(2Ts), 소금(0.3Ts), 후춧가루(0.3Ts)","['가지, 주키니호박, 토마토는 0.3mm 두께로 썬다. ', '단호박은 전자레인지에 5분간 돌리고, 익으면 윗부분을 약간 잘라낸 뒤 씨를 제거한다. ', '중간 불로 달군 팬에 훈제오리와 마늘을 넣어 고루 볶은 뒤 단호박 속에 채운다. ', '팬에 올리브유를 두른 뒤 약한 불로 올리고, 라타투이 소스 재료, 소금, 후춧가루를 넣어 10분간 볶아 라타투이 소스를 만든다. ', '높이가 낮은 냄비에 라타투이 소스를 넓게 깔고, 손질한 채소를 둘러 담는다. ', '오리로 채운 단호박을 가운데 올린 뒤 6~8등분하여 펼치고, 중간 불로 15분간 쪄 마무리한다.']",235.4,9.1,21.7,12.5,682.6
51,느타리버섯볶음,"?필수 : 느타리버섯(25g), 파프리카(빨간색, 노란색 각 10g), 청피망(10g), 크래미(10g), 식용유(3g)?양념 : 소금(1g), 후추(3g), 간장(1g)","['느타리버섯은 밑동을 자르고 가닥가닥 찢어 데쳐서 찬물에 헹궈 물기를 제거한다.', '파프리카와 청피망은 채 썰고, 크래미는 잘게 찢는다.', '팬에 기름을 두르고 손질한 파프리카와 피망을 넣어 볶는다.', '느타리버섯을 넣어 볶는다.', '게살을 넣어 볶다가 간장으로 색을 낸다.', '소금과 후추로 마무리한다.']",51.5,3.8,2.4,3.0,158.2
52,닭고기 바비큐,"닭가슴살 60g, 홍피망 24g, 양파 30g, 노랑파프리카 24g, 양송이버섯 9g [소스소개] 소스:양파다진것 6g, 마늘다진것 1.2g, 케첩 9g, 홍토마토 12g, 설탕 3g, 물 18g 이탈리안시즈닝:타임 0.9g, 로즈마리 0.9g, 바질 1.2g, 오레가노 1.2g","['닭가슴살은 3cm 주사위모양으로 썰고 식용유와 이탈리안 시즈닝으로 양념한다.', '홍피망, 노랑파프리카, 양파는 3cm 크기로 썰고 양송이버섯은 반으로 썬다.', '소스 재료를 넣고 끓인다.', '닭가슴살은 구워서 반만 익히고 꼬치에 채소와 함께 꽂는다.', '그릴에서 완전히 굽는다.', '소스를 끼얹어 낸다.']",174.7,11.9,13.1,8.5,73
53,닭고기 편육,"닭고기가슴살 100g [소스소개] 밑간양념:요구르트 6g, 식용유 1g, 후춧가루 0.03g 조림장:간장 3g, 설탕 5g, 꿀 1g, 홍고추마른것 1g, 정종 5g, 참기름 0.8g, 대파 10g","['오븐을 175℃로 예열한다.', '닭고기 밑간 양념으로 30분정도 재운다.', '재워 놓은 닭고기를 175℃의 오븐에서 15분 굽는다.', '조림장을 모두 넣고 끓인다.', '닭고기 구운 것을 넣고 10~15분 간 졸인다.', '닭고기를 먹기 좋게 잘라 남은 소스를 얹어 낸다.']",262.0,8.3,19.4,15.5,238
54,돼지고기 찹쌀부침,"돼지고기 등심 50g, 젖은 찹쌀가루 50g [소스소개] 밑간양념:간장 1g, 물엿 3g, 다진마늘 2g, 후춧가루 0.1g, 무순 1g, 레디쉬 0.3g, 깻잎 1.5g, 대파 3g 저나트륨된장소스:된장 1g, 파인애플 15g, 물 30g, 홍고추 0.5g, 통마늘 0.3g","['돼지고기는 간장, 물엿, 다진마늘, 후춧가루로 밑간 한다.', '레디쉬, 깻잎, 대파는 채썬다.', '소스 재료들은 모두 믹서에 간다.', '돼지고기에 찹쌀가루를 두 번 입힌다.', '가열된 팬에 옷입힌 돼지고기를 지진다.', '구운 돼지고기에 썰어둔 채소를 얹은 후 고기를 말아 소스와 곁들인다.']",343.7,48.3,13.4,10.0,120
55,등심 배구이,"쇠고기등심 38g, 배 12g, 오이 9g, 잣가루 0.5g, 식용유 0.5g [소스소개] 고기재움장:포도주 2.5g, 후춧가루 0.1g 저나트륨초간장소스:간장 1.3g, 사과주스 3.8g, 식초 1.3g, 설탕 1.3g, 와사미 0.8g","['소고기등심은 손질하여 칼등으로 부드럽게 두드린 뒤 4cm 길이로 썰어서 재움장에 30분 정도 재운다.', '오이는 0.2cm 두께로 동그랗게 썰어 소금에 살짝 절였다 짠다.', '배는 껍질과 씨를 제거하고 반달모양으로 0.2cm 두께로 썬다.', '팬에 식용유를 두르고 오이는 센불에서 살짝 볶고 배는 노릇하게 지진다.', '팬에 재워둔 소고기등심을 지지고 초간장소스를 만든다.', '노릇하게 지진 배에 소고기등심을 오이, 잣가루를 얹고 가볍게 싸서 저나트륨 초간장에 찍어 먹는다.']",97.2,3.8,7.9,5.1,241
56,버섯소스를 곁들인 돼지 등심 스테이크,"돼지등심 100g, 양송이버섯 45g, 표고버섯 15g, 애느타리버섯 10g, 파슬리다진것 3g, 버터 5g, 후춧가루 0.1g, 밀가루 4g, 식용유 2g, 화이트와인 50g, 물 50g","['양송이버섯과 표고버섯은 얇게 썰고 애느타리버섯은 잘게 찢어 놓는다.', '썰어놓은 돼지고기는 후춧가루와 밀가루로 밑간한다.', '가열된 팬에 식용유를 넣고 고기를 굽는다.', '고기를 한쪽으로 밀어두고 버섯들을 넣어 볶다가 화이트와인과 물을 넣고 끓인다. 반쯤 졸아지면 고기를 꺼낸다.', '팬에 버터를 넣어 소스의 농도를 맞추고 다진 파슬리를 뿌려 소스를 완성한다.', '고기에 소스를 얹어 낸다.']",387.7,8.0,20.4,26.1,80
57,쇠고기 감자찜,"알감자 80g, 쇠고기다진것 50g, 육수 50g, 녹말가루 3g [소스소개] 쇠고기양념:파다진것 1g, 마늘 다진것 1g, 청고추 다진것 1g, 홍고추 다진것 1g, 간장 1.2g, 설탕 1.2g, 깨소금 0.5g, 참기름 1g, 후춧가루 0.1g, 미나리잎장식","['감자는 껍질을 벗겨 반으로 갈라편편하게 놓일 수 있도록 밑면을 다듬는다.', '숟가락으로 감자 윗면을 파낸다.', '다진 소고기는 분량의 재료를 넣고 양념한다.', '파낸 감자 안에 녹말을 묻히고 양념한 소고기를 채운다.', '감자가 잠길 정도로 육수를 붓고 끓인다.', '찜이 완성되면 물녹말을 부어 걸쭉하게 만든다.']",183.6,16.5,12.9,7.3,200
58,양송이버섯과 포도주스를 가미한 등심구이,"쇠고기등심 50g, 양송이버섯 20g, 포도주스 50g, 토마토 80g, 물 15g, 바질 2.5g, 설탕 1.3g, 오레가노 2g,마늘가루 0.5g, 소금 0.4g, 파슬리다진것 5g, 월계수잎 0.2g, 로즈마리 2.5g, 통후추 1g, 타임 2.5g","['유리볼에 고기를 담고 로즈마리, 통후추 으깬 것, 양송이버섯 썬 것, 월계수잎, 포도주스를 넣고 절인다.', '작은 유리볼에 토마토소스와 소고기육수, 바질, 오레가노, 설탕, 마늘가루를 넣고 섞는다.', '재워둔 고기를 꺼내 가열된 팬에 앞 뒷면을 익힌다.', '고기를 구웠던 팬에 1의 남은 국물과 2의 토마토소스를 붓는다.', '팬에 붙은 고기 조각들을 긁어내 함께 중불에서 끓여 양송이버섯 소스를 만든다.', '스테이크를 썰어 그릇에 담고 양송이버섯 소스를 끼얹는다.']",182.5,15.3,11.3,10.3,163
